Gender;Age;age_ed;education;Group;answers;q_1;q_2;q_3;q_4;q_5;q_6;q_1_p;q_2_p;q_3_p;q_4_p;q_5_p;q_6_p;t_1;t_2;t_3;t_4;t_5;t_6
Женщина;18;13;неоконченное высшее;A;{3.0: ['a1', 'a1', 9913.0], 5.0: ['a2', 'a2', 8019.0], 2.0: ['a2', 'a3', 7939.0], 1.0: ['a3', 'a3', 10906.0], 4.0: ['a1', 'a1', 12476.0], 6.0: ['a2', 'a2', 9431.0]};a3;a2;a1;a1;a2;a2;1;0;1;1;1;1;10906;7939;9913;12476;8019;9431
Женщина;18;14;неоконченное высшее;A;{6.0: ['a2', 'a2', 8753.0], 2.0: ['a2', 'a3', 10192.0], 4.0: ['a1', 'a1', 11737.0], 3.0: ['a1', 'a1', 9978.0], 1.0: ['a2', 'a3', 9930.0], 5.0: ['a3', 'a2', 12158.0]};a2;a2;a1;a1;a3;a2;0;0;1;1;0;1;9930;10192;9978;11737;12158;8753
Женщина;18;11;неоконченное высшее;B;{6.0: ['a2', 'a2', 9995.0], 4.0: ['a2', 'a1', 9188.0], 2.0: ['a2', 'a3', 10064.0], 5.0: ['a2', 'a2', 9138.0], 1.0: ['a2', 'a3', 9108.0], 3.0: ['a1', 'a1', 15051.0]};a2;a2;a1;a2;a2;a2;0;0;1;0;1;1;9108;10064;15051;9188;9138;9995
Женщина;18;13;неоконченное высшее;D;{1.0: ['a2', 'a3', 15082.0], 5.0: ['a2', 'a1', 11722.0], 6.0: ['a2', 'a2', 8777.0], 3.0: ['a2', 'a3', 10143.0], 2.0: ['a2', 'a1', 9575.0], 4.0: ['a2', 'a2', 27295.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;15082;9575;10143;27295;11722;8777
Мужчина;21;13;неоконченное высшее;A;{1.0: ['a3', 'a3', 23260.0], 5.0: ['a2', 'a2', 14685.0], 3.0: ['a1', 'a1', 10044.0], 2.0: ['a1', 'a3', 20021.0], 6.0: ['a2', 'a2', 8624.0], 4.0: ['a1', 'a1', 10417.0]};a3;a1;a1;a1;a2;a2;1;0;1;1;1;1;23260;20021;10044;10417;14685;8624
Мужчина;18;11;неоконченное высшее;B;{2.0: ['a3', 'a3', 26931.0], 6.0: ['a2', 'a2', 13000.0], 5.0: ['a2', 'a2', 8311.0], 4.0: ['a2', 'a1', 9951.0], 3.0: ['a1', 'a1', 8503.0], 1.0: ['a2', 'a3', 8887.0]};a2;a3;a1;a2;a2;a2;0;1;1;0;1;1;8887;26931;8503;9951;8311;13000
Женщина;19;13;высшее;C;{1.0: ['a2', 'a3', 21279.0], 3.0: ['a3', 'a3', 36767.0], 5.0: ['a2', 'a1', 10891.0], 4.0: ['a2', 'a2', 12884.0], 2.0: ['a2', 'a1', 10560.0], 6.0: ['a2', 'a2', 8836.0]};a2;a2;a3;a2;a2;a2;0;0;1;1;0;1;21279;10560;36767;12884;10891;8836
Мужчина;42;15;высшее;D;{2.0: ['a2', 'a1', 15541.0], 4.0: ['a2', 'a2', 24941.0], 6.0: ['a2', 'a2', 18428.0], 5.0: ['a1', 'a1', 42450.0], 3.0: ['a3', 'a3', 19654.0], 1.0: ['a3', 'a3', 28377.0]};a3;a2;a3;a2;a1;a2;1;0;1;1;1;1;28377;15541;19654;24941;42450;18428
Женщина;19;12;неоконченное высшее;B;{2.0: ['a3', 'a3', 13235.0], 3.0: ['a1', 'a1', 12300.0], 4.0: ['a1', 'a1', 13606.0], 5.0: ['a2', 'a2', 7116.0], 1.0: ['a2', 'a3', 10832.0], 6.0: ['a2', 'a2', 10463.0]};a2;a3;a1;a1;a2;a2;0;1;1;1;1;1;10832;13235;12300;13606;7116;10463
Мужчина;42;;неоконченное высшее;C;{6.0: ['a3', 'a2', 23433.0], 4.0: ['a2', 'a2', 11072.0], 3.0: ['a3', 'a3', 14874.0], 2.0: ['a1', 'a1', 11003.0], 5.0: ['a3', 'a1', 14297.0], 1.0: ['a3', 'a3', 18077.0]};a3;a1;a3;a2;a3;a3;1;1;1;1;0;0;18077;11003;14874;11072;14297;23433
Женщина;19;13;неоконченное высшее;D;{6.0: ['a2', 'a2', 10339.0], 2.0: ['a1', 'a1', 9297.0], 5.0: ['a2', 'a1', 7869.0], 4.0: ['a2', 'a2', 9565.0], 1.0: ['a1', 'a3', 13351.0], 3.0: ['a2', 'a3', 10315.0]};a1;a1;a2;a2;a2;a2;0;1;0;1;0;1;13351;9297;10315;9565;7869;10339
Мужчина;50;11;ученая степень;B;{4.0: ['a1', 'a1', 15876.0], 3.0: ['a1', 'a1', 15899.0], 2.0: ['a1', 'a3', 13854.0], 6.0: ['a2', 'a2', 13474.0], 1.0: ['a2', 'a3', 20268.0], 5.0: ['a3', 'a2', 17580.0]};a2;a1;a1;a1;a3;a2;0;0;1;1;0;1;20268;13854;15899;15876;17580;13474
